Timestamp,Title,Speaker,Speaker_inst,Abstract,Host,Site,In_Charge,arXiv,Date,Start_Time,End_Time,Timezone,Approved
-1,Effective Sato-Tate and applications,Alina Bucur.,UCSD,TBA,VaNTAGe,https://sites.google.com/view/vantageseminar,No,"Math.NT, Math.AG",19/05/2020,13:00:00,14:00:00,UTC -04:00,YES
-1,Solving inverse problems with deep learning,Lexing Ying,Stanford University,"This talk is about some recent progress on solving inverse problems using deep learning. Compared to traditional machine learning problems, inverse problems are often limited by the size of the training data set. We show how to overcome this issue by incorporating mathematical analysis and physics into the design of neural network architectures. We first describe neural network representations of pseudodifferential operators and Fourier integral operators. We then continue to discuss applications including electric impedance tomography, optical tomography, inverse acoustic/EM scattering, and travel-time tomography.",UC Berkeley,https://events.berkeley.edu/index.php/calendar/sn/math.html?event_ID=132641&date=2020-04-08&filter=Secondary%20Event%20Type&filtersel=,No,,08/04/2020,16:10:00,17:00:00,UTC -07:00,YES
-1,Circumcenter extension maps for Hadamard manifolds,Merlin Incerti-Medici,University of Zurich,"Given a CAT(-1) space, we can associate to it a boundary at infinity and a cross ratio on said boundary. There is a series of results that tell us that, for sufficiently nice CAT(-1) spaces, the boundary together with the cross ratio uniquely determines the interior space. The proof of these results can be understood in terms of the construction of a circumcenter extension map. It turns out that this relationship between boundary and interior space generalizes nicely to a large class of CAT(0) spaces. In this talk, we will survey some known results, explain the construction of the circumcenter extension and show that the boundary roughly determines the interior space for a large class of manifolds.",Ohio State University,https://sites.google.com/view/topoandggt,No,"Math.MG, Math.DG",16/04/2020,14:00:00,15:00:00,UTC -04:00,YES
-1,Recent Progress on the Erdos-Hajnal Conjecture,Maria Chudnovsky,Princeton University,"What is the effect of excluding an induced subgraph on the global structure of a graph? While there do not seem to be general structural consequences, a conjecture of Erdos and Hajnal states that graphs with forbidden induced subgraphs behave very differently from general graphs; more precisely they contain much larger cliques or stable sets. This conjecture is still open. In this talk we will discuss the history of this problem and some recent theorems related to it.",Northeast Combinatorics Network,https://sites.google.com/view/northeastcombinatoricsnetwork/home,No,Math.CO,07/04/2020,14:00:00,15:00:00,UTC -04:00,YES
-1,Cardy embedding of random planar maps,Nina Holden,Zürich,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,09/04/2020,15:00:00,16:00:00,UTC +02:00,YES
-1,Mean-field disordered systems and Hamilton-Jacobi equations,Jean-Christophe Mourrat,New York,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,09/04/2020,16:00:00,17:00:00,UTC +02:00,YES
-1,Scaling limits for planar aggregation with subcritical fluctuations,Amanda Turner,Lancaster,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,16/04/2020,15:00:00,16:00:00,UTC +02:00,YES
-1,Information diffusion on random graphs,Remco van der Hofstadt,Eindhoven,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,16/04/2020,16:00:00,17:00:00,UTC +02:00,YES
-1,All adapted topologies are equal,Mathias Beiglböck,Vienna,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,23/04/2020,15:00:00,16:00:00,UTC +02:00,YES
-1,Fast non mean-field network: uniform in time averaging,Michela Ottobre,Edinburgh,-,One World Probability,https://www.wim.uni-mannheim.de/doering/one-world/,No,Math.PR,16/04/2020,16:00:00,17:00:00,UTC +02:00,YES
